1060815,97,0044,0725,464,599,1333,1975,160,176,228
1061823,97,0044,0725,465,595,1331,1976,138,172,213
1062830,97,0044,0725,462,599,1325,1969,177,173,202
1063837,97,0044,0725,464,598,1331,1971,176,176,221
1064845,97,0044,0725,464,598,1332,1967,171,176,202
1065852,97,0044,0725,463,598,1324,1922,182,172,211
1066858,97,0044,0725,462,597,1307,1847,189,170,218
1067865,97,0044,0725,467,597,1297,1808,2265,183,216
1068872,97,0044,0725,467,592,1280,1735,2273,160,229
1069879,97,0044,0725,467,588,1243,1667,2276,1764,1990
1070886,97,0044,0725,464,583,1240,1640,2279,1767,1993
1071893,97,0044,0725,463,578,1224,1582,2282,1773,1989
1072899,97,0044,0725,459,572,1193,1509,2292,1786,1975
1073905,97,0044,0725,461,572,1184,1473,2292,1792,1967
1074912,97,0044,0725,459,563,1147,1354,1911,1822,1959
1075918,97,0044,0725,445,559,1133,1236,1707,1864,1956
1076824,97,0044,0725,443,550,1126,1150,1587,1895,1969
1077830,97,0044,0725,437,560,1041,1065,1487,1926,1973
1078836,97,0044,0725,439,561,1029,1059,1465,1929,1975
1079842,97,0044,0725,437,558,996,1032,1425,1952,1972
1080849,97,0044,0725,436,556,947,967,1350,1970,1980
1081855,97,0044,0725,437,563,898,921,1272,1996,1989
1082861,97,0044,0725,430,553,838,871,1202,2136,2055
1083866,97,0044,0725,411,529,749,775,1085,2260,2259
1084872,97,0044,0725,416,533,699,721,1000,2262,2419
1085878,97,0044,0725,416,527,648,670,925,2269,2487
1086884,97,0044,0725,414,519,606,629,867,2267,2489
1087890,97,0044,0725,411,516,553,565,794,2274,2481
1088895,97,0044,0725,416,519,525,537,752,2275,2475
1089901,97,0044,0725,415,512,481,497,691,2250,2468
1090906,97,0044,0725,407,488,428,442,616,2243,2467
1091912,97,0044,0725,405,497,455,469,657,2255,2467
1092918,97,0044,0725,412,504,457,469,661,2258,2472
1093924,97,0044,0725,415,508,461,474,663,985,976
