615340,97,0044,0725,348,351,483,1227,1655,2354,1871,2203
616347,97,0044,0725,350,356,491,1218,1652,2358,1878,2207
617353,97,0044,0725,350,359,486,1216,1649,2362,1876,2206
618359,97,0044,0725,352,355,492,1220,1609,2356,1870,2197
619365,97,0044,0725,354,359,495,1217,1548,2357,1876,2190
620372,97,0044,0725,352,360,483,1139,1469,1953,1893,2155
621277,97,0044,0725,356,358,478,1091,1406,1912,1896,2142
622284,97,0044,0725,349,357,477,1064,1297,1835,1924,2110
623290,97,0044,0725,351,354,470,1035,1201,1720,1957,2105
624296,97,0044,0725,348,349,461,1009,1101,1549,1993,2089
625302,97,0044,0725,346,348,456,980,1019,1431,2029,2090
626308,97,0044,0725,351,350,456,949,972,1346,2063,2076
627315,97,0044,0725,343,346,455,882,916,1266,2075,2075
628321,97,0044,0725,343,344,444,803,823,1133,2328,2248
629327,97,0044,0725,340,344,444,743,766,1053,2354,2402
630333,97,0044,0725,345,346,439,678,699,972,2356,2532
631339,97,0044,0725,341,343,436,611,628,882,2357,2604
632345,97,0044,0725,340,337,439,554,579,815,2355,2593
633351,97,0044,0725,339,337,437,532,553,779,2357,2597
634357,97,0044,0725,338,337,436,526,550,774,2355,2593
635363,97,0044,0725,339,338,435,527,542,778,2355,2594
636369,97,0044,0725,335,340,438,531,552,784,2360,2595
637376,97,0044,0725,338,342,439,531,553,780,2357,2595
638381,97,0044,0725,337,339,437,529,546,782,2355,2602
